"Date","Price","Open","High","Low","Vol.","Change %"
"05/03/2023","278.02","278.40","283.67","274.72","38.10M","-1.45%"
"05/02/2023","282.10","286.80","288.36","280.83","40.27M","-2.42%"
"05/01/2023","289.10","278.40","290.58","277.80","56.62M","4.18%"
"04/28/2023","277.49","272.25","277.58","270.71","29.22M","1.92%"
"04/27/2023","272.26","273.63","274.95","266.25","37.43M","1.00%"
"04/26/2023","269.56","270.02","273.30","267.05","40.45M","2.72%"
"04/25/2023","262.41","270.78","272.47","262.25","36.76M","-2.96%"
"04/24/2023","270.42","270.13","273.66","266.71","32.65M","-0.28%"
"04/21/2023","271.19","269.52","271.83","267.22","34.51M","0.06%"
"04/20/2023","271.04","276.71","280.30","270.00","42.77M","-2.96%"
"04/19/2023","279.31","273.61","280.00","272.32","35.14M","0.95%"
"04/18/2023","276.67","275.33","281.10","273.57","60.27M","2.46%"
"04/17/2023","270.02","265.65","270.06","264.33","32.15M","0.91%"
"04/14/2023","267.58","265.04","268.83","262.20","39.57M","1.11%"
"04/13/2023","264.63","267.34","268.87","263.29","35.22M","-0.12%"
"04/12/2023","264.95","273.70","274.68","264.48","44.35M","-2.48%"
"04/11/2023","271.69","277.23","277.90","271.26","30.23M","-1.49%"
"04/10/2023","275.79","268.23","276.21","266.69","37.98M","2.00%"
"04/06/2023","270.37","265.84","270.80","264.27","39.77M","0.58%"
"04/05/2023","268.81","268.29","269.98","263.95","50.33M","-2.08%"
"04/04/2023","274.53","279.66","280.00","273.07","36.64M","-1.83%"
"04/03/2023","279.65","275.09","280.00","273.36","39.62M","0.68%"
"03/31/2023","277.77","271.40","278.34","271.05","43.39M","1.44%"
"03/30/2023","273.83","272.29","274.99","271.02","35.64M","1.48%"
"03/29/2023","269.84","268.25","270.78","265.97","39.37M","2.17%"
"03/28/2023","264.10","264.47","265.13","258.50","35.48M","-0.46%"
"03/27/2023","265.31","268.37","270.00","263.65","36.02M","-0.93%"
"03/24/2023","267.79","270.31","271.67","263.55","45.54M","-1.52%"
"03/23/2023","271.91","271.15","274.99","266.90","56.18M","2.73%"
"03/22/2023","264.68","264.25","275.89","262.37","79.26M","1.03%"
"03/21/2023","261.99","261.80","263.92","253.81","54.52M","1.15%"
"03/20/2023","259.00","256.15","260.24","251.30","43.15M","0.68%"
"03/17/2023","257.25","259.82","263.99","256.68","84.85M","0.72%"
"03/16/2023","255.41","240.27","255.88","238.94","58.49M","5.42%"
"03/15/2023","242.28","237.61","242.86","233.60","51.77M","0.69%"
"03/14/2023","240.63","234.96","242.19","234.60","47.15M","4.78%"
"03/13/2023","229.66","227.52","232.98","222.97","42.19M","0.00%"
"03/10/2023","229.65","234.09","236.27","227.26","47.49M","-2.01%"
"03/09/2023","234.36","241.75","244.54","233.83","49.94M","-3.08%"
"03/08/2023","241.81","234.87","242.00","234.24","51.36M","3.83%"
"03/07/2023","232.88","236.00","241.25","232.41","51.52M","-1.13%"
"03/06/2023","235.54","238.91","242.48","234.87","43.74M","-1.41%"
"03/03/2023","238.90","233.20","239.00","231.30","40.94M","2.47%"
"03/02/2023","233.14","224.88","233.80","224.32","38.15M","2.71%"
"03/01/2023","226.98","231.92","232.56","225.08","45.52M","-2.23%"
"02/28/2023","232.16","233.72","238.25","232.06","45.60M","-1.21%"
"02/27/2023","235.01","236.70","238.80","234.54","45.30M","0.92%"
"02/24/2023","232.86","232.25","234.74","229.47","58.97M","-1.60%"
"02/23/2023","236.64","234.40","238.88","230.25","111.80M","14.02%"
"02/22/2023","207.54","207.07","211.04","204.21","51.32M","0.48%"
"02/21/2023","206.55","210.00","214.94","206.18","41.00M","-3.43%"
"02/17/2023","213.88","216.31","217.40","209.75","46.59M","-2.79%"
"02/16/2023","220.02","221.33","225.50","219.27","40.88M","-3.35%"
"02/15/2023","227.64","225.49","228.55","221.06","42.01M","-0.90%"
"02/14/2023","229.71","215.78","230.49","213.66","67.55M","5.43%"
"02/13/2023","217.88","215.38","220.48","209.62","47.34M","2.46%"
"02/10/2023","212.65","216.90","220.78","208.11","55.07M","-4.80%"
"02/09/2023","223.37","226.06","230.20","221.20","52.10M","0.59%"
"02/08/2023","222.05","223.87","228.78","220.08","54.74M","0.14%"
"02/07/2023","221.73","213.82","222.59","211.50","66.11M","5.14%"
"02/06/2023","210.89","208.06","215.70","207.86","45.13M","-0.05%"
"02/03/2023","211.00","210.00","217.45","207.89","42.94M","-2.81%"
"02/02/2023","217.09","210.00","219.49","207.00","55.96M","3.66%"
"02/01/2023","209.43","196.91","211.92","196.11","65.55M","7.20%"
"01/31/2023","195.37","191.70","196.87","189.50","49.80M","1.96%"
"01/30/2023","191.62","199.50","201.40","191.50","48.67M","-5.91%"
"01/27/2023","203.65","194.62","206.28","194.05","54.21M","2.84%"
"01/26/2023","198.02","197.01","201.66","192.78","48.53M","2.48%"
"01/25/2023","193.23","189.13","193.70","185.80","44.76M","0.30%"
"01/24/2023","192.65","188.27","194.95","188.20","48.75M","0.38%"
"01/23/2023","191.93","180.64","192.45","178.18","65.30M","7.59%"
"01/20/2023","178.39","170.11","178.56","168.25","56.50M","6.41%"
"01/19/2023","167.65","170.36","171.97","167.31","45.14M","-3.52%"
"01/18/2023","173.77","176.67","178.73","172.82","43.96M","-1.84%"
"01/17/2023","177.02","168.99","177.28","168.99","50.94M","4.75%"
"01/13/2023","168.99","162.78","169.22","161.65","44.73M","2.35%"
"01/12/2023","165.11","161.00","166.37","154.92","55.02M","3.19%"
"01/11/2023","160.01","158.40","160.28","155.63","35.25M","0.58%"
"01/10/2023","159.09","155.07","159.62","154.72","38.33M","1.80%"
"01/09/2023","156.28","152.84","160.56","151.41","50.34M","5.18%"
"01/06/2023","148.59","144.74","150.10","140.34","40.50M","4.16%"
"01/05/2023","142.65","144.91","145.64","141.48","38.85M","-3.28%"
"01/04/2023","147.49","145.67","148.53","142.41","43.04M","3.03%"
"01/03/2023","143.15","148.51","149.96","140.96","40.06M","-2.05%"
